,Dataset,Selective,Max Depth,Training Accuracy,Testing Accuracy
0,Month_6,False,2,0.8688845401174168,0.863013698630137
1,Month_6,False,3,0.8962818003913894,0.8310502283105022
2,Month_6,False,4,0.9158512720156555,0.8127853881278538
3,Month_6,False,5,0.9334637964774951,0.817351598173516
4,Month_6,False,6,0.949119373776908,0.8356164383561644
5,Month_6,False,7,0.9667318982387475,0.8127853881278538
6,Month_6,False,8,0.9784735812133072,0.7945205479452054
7,Month_6,False,9,0.9902152641878669,0.8127853881278538
8,Month_6,False,10,0.9960861056751468,0.8082191780821918
9,Month_12,False,2,0.902542372881356,0.8325123152709359
10,Month_12,False,3,0.9110169491525424,0.8275862068965517
11,Month_12,False,4,0.9385593220338984,0.7980295566502463
12,Month_12,False,5,0.9661016949152542,0.8226600985221675
13,Month_12,False,6,0.9851694915254238,0.7980295566502463
14,Month_12,False,7,0.9957627118644068,0.7980295566502463
15,Month_12,False,8,0.9957627118644068,0.7832512315270936
16,Month_12,False,9,0.9978813559322034,0.7931034482758621
17,Month_12,False,10,1.0,0.8029556650246306
18,Month_18,False,2,0.8738317757009346,0.8461538461538461
19,Month_18,False,3,0.897196261682243,0.8021978021978022
20,Month_18,False,4,0.9485981308411215,0.8131868131868132
21,Month_18,False,5,0.9672897196261683,0.7802197802197802
22,Month_18,False,6,0.9906542056074766,0.7912087912087912
23,Month_18,False,7,1.0,0.7692307692307693
24,Month_18,False,8,1.0,0.7802197802197802
25,Month_18,False,9,1.0,0.7802197802197802
26,Month_18,False,10,1.0,0.7802197802197802
27,Month_24,False,2,0.8608247422680413,0.8373493975903614
28,Month_24,False,3,0.8969072164948454,0.8253012048192772
29,Month_24,False,4,0.9226804123711341,0.8012048192771084
30,Month_24,False,5,0.9458762886597938,0.7771084337349398
31,Month_24,False,6,0.9587628865979382,0.7771084337349398
32,Month_24,False,7,0.9716494845360825,0.7590361445783133
33,Month_24,False,8,0.9871134020618557,0.7590361445783133
34,Month_24,False,9,0.9974226804123711,0.7650602409638554
35,Month_24,False,10,0.9974226804123711,0.7289156626506024
36,Month_36,False,2,0.922509225092251,0.7931034482758621
37,Month_36,False,3,0.9520295202952029,0.7758620689655172
38,Month_36,False,4,0.966789667896679,0.7672413793103449
39,Month_36,False,5,0.988929889298893,0.7586206896551724
40,Month_36,False,6,1.0,0.7672413793103449
41,Month_36,False,7,1.0,0.8017241379310345
42,Month_36,False,8,1.0,0.7413793103448276
43,Month_36,False,9,1.0,0.8189655172413793
44,Month_36,False,10,1.0,0.7844827586206896
45,Month_48,False,2,0.9436619718309859,0.9666666666666667
46,Month_48,False,3,0.9859154929577465,0.9333333333333333
47,Month_48,False,4,1.0,0.9333333333333333
48,Month_48,False,5,1.0,0.9
49,Month_48,False,6,1.0,0.9
50,Month_48,False,7,1.0,0.9333333333333333
51,Month_48,False,8,1.0,0.9333333333333333
52,Month_48,False,9,1.0,0.9666666666666667
53,Month_48,False,10,1.0,0.8333333333333334
54,Month_6,True,2,0.8571428571428571,0.8721461187214612
55,Month_6,True,3,0.8688845401174168,0.8584474885844748
56,Month_6,True,4,0.8747553816046967,0.867579908675799
57,Month_6,True,5,0.8904109589041096,0.8401826484018264
58,Month_6,True,6,0.913894324853229,0.8127853881278538
59,Month_6,True,7,0.9393346379647749,0.7945205479452054
60,Month_6,True,8,0.9471624266144814,0.8036529680365296
61,Month_6,True,9,0.9628180039138943,0.7899543378995434
62,Month_6,True,10,0.974559686888454,0.7990867579908676
63,Month_12,True,2,0.9004237288135594,0.8719211822660099
64,Month_12,True,3,0.9067796610169492,0.8522167487684729
65,Month_12,True,4,0.9216101694915254,0.8374384236453202
66,Month_12,True,5,0.9385593220338984,0.8522167487684729
67,Month_12,True,6,0.9491525423728814,0.8423645320197044
68,Month_12,True,7,0.951271186440678,0.8522167487684729
69,Month_12,True,8,0.961864406779661,0.8325123152709359
70,Month_12,True,9,0.9745762711864406,0.8325123152709359
71,Month_12,True,10,0.9766949152542372,0.8374384236453202
72,Month_18,True,2,0.897196261682243,0.8791208791208791
73,Month_18,True,3,0.9158878504672897,0.8681318681318682
74,Month_18,True,4,0.9392523364485982,0.8791208791208791
75,Month_18,True,5,0.9485981308411215,0.8791208791208791
76,Month_18,True,6,0.9626168224299065,0.8681318681318682
77,Month_18,True,7,0.9813084112149533,0.8901098901098901
78,Month_18,True,8,0.9813084112149533,0.8791208791208791
79,Month_18,True,9,0.9813084112149533,0.8791208791208791
80,Month_18,True,10,0.985981308411215,0.8901098901098901
81,Month_24,True,2,0.8711340206185567,0.8132530120481928
82,Month_24,True,3,0.9072164948453608,0.8313253012048193
83,Month_24,True,4,0.9304123711340206,0.8433734939759037
84,Month_24,True,5,0.9355670103092784,0.8313253012048193
85,Month_24,True,6,0.9510309278350515,0.8253012048192772
86,Month_24,True,7,0.9742268041237113,0.8192771084337349
87,Month_24,True,8,0.9871134020618557,0.8012048192771084
88,Month_24,True,9,0.9948453608247423,0.8192771084337349
89,Month_24,True,10,1.0,0.8253012048192772
90,Month_36,True,2,0.8819188191881919,0.8448275862068966
91,Month_36,True,3,0.9298892988929889,0.8189655172413793
92,Month_36,True,4,0.9520295202952029,0.8275862068965517
93,Month_36,True,5,0.974169741697417,0.8189655172413793
94,Month_36,True,6,0.988929889298893,0.8189655172413793
95,Month_36,True,7,0.996309963099631,0.8189655172413793
96,Month_36,True,8,1.0,0.8189655172413793
97,Month_36,True,9,1.0,0.8189655172413793
98,Month_36,True,10,1.0,0.8189655172413793
99,Month_48,True,2,0.971830985915493,0.9
100,Month_48,True,3,0.9859154929577465,0.9
101,Month_48,True,4,1.0,0.9
102,Month_48,True,5,1.0,0.8666666666666667
103,Month_48,True,6,1.0,0.9
104,Month_48,True,7,1.0,0.9
105,Month_48,True,8,1.0,0.9
106,Month_48,True,9,1.0,0.8666666666666667
107,Month_48,True,10,1.0,0.8666666666666667
